Round,Date,Team 1,Team 2,FT,HT,Day,Week
?,2016-01-08,Paris FC,Tours,1-3,0-1,Fri,1
?,2016-01-09,Red Star,Lens,1-2,0-0,Sat,1
?,2016-01-11,Metz,Sochaux,1-0,0-0,Mon,2
?,2016-01-15,Creteil,Lens,1-1,0-0,Fri,2
?,2016-01-15,Dijon,Bourg Peronnas,3-0,2-0,Fri,2
?,2016-01-15,Evian Thonon Gaillard,Ajaccio,0-2,0-1,Fri,2
?,2016-01-15,Laval,Auxerre,4-1,0-1,Fri,2
?,2016-01-15,Le Havre,Paris FC,2-1,1-0,Fri,2
?,2016-01-15,Nimes,Clermont,6-2,3-2,Fri,2
?,2016-01-15,Sochaux,Niort,2-3,2-1,Fri,2
?,2016-01-15,Tours,Red Star,0-0,0-0,Fri,2
?,2016-01-16,Brest,Nancy,1-1,1-0,Sat,2
?,2016-01-18,Valenciennes,Metz,2-1,1-1,Mon,3
?,2016-01-22,Auxerre,Tours,2-1,1-0,Fri,3
?,2016-01-22,Bourg Peronnas,Valenciennes,0-0,0-0,Fri,3
?,2016-01-22,Metz,Creteil,2-1,0-1,Fri,3
?,2016-01-22,Nancy,Nimes,3-4,2-2,Fri,3
?,2016-01-22,Paris FC,Sochaux,0-0,0-0,Fri,3
?,2016-01-23,Lens,Dijon,1-1,1-1,Sat,3
?,2016-01-23,Niort,Evian Thonon Gaillard,0-3,0-1,Sat,3
?,2016-01-23,Red Star,Laval,2-0,1-0,Sat,3
?,2016-01-25,Ajaccio,Brest,2-1,1-1,Mon,4
?,2016-01-25,Clermont,Le Havre,2-1,0-0,Mon,4
?,2016-01-29,Brest,Paris FC,1-0,1-0,Fri,4
?,2016-01-29,Creteil,Dijon,0-1,0-0,Fri,4
?,2016-01-29,Evian Thonon Gaillard,Metz,0-1,0-1,Fri,4
?,2016-01-29,Laval,Niort,0-0,0-0,Fri,4
?,2016-01-29,Nancy,Clermont,3-1,0-0,Fri,4
?,2016-01-29,Nimes,Auxerre,2-1,1-0,Fri,4
?,2016-01-29,Sochaux,Bourg Peronnas,1-1,1-1,Fri,4
?,2016-01-29,Tours,Ajaccio,1-1,0-1,Fri,4
?,2016-01-29,Valenciennes,Red Star,0-0,0-0,Fri,4
?,2016-01-30,Le Havre,Lens,2-0,1-0,Sat,4
?,2016-02-01,Paris FC,Clermont,0-0,0-0,Mon,5
?,2016-02-02,Ajaccio,Nimes,2-0,1-0,Tue,5
?,2016-02-02,Auxerre,Evian Thonon Gaillard,3-1,2-0,Tue,5
?,2016-02-02,Bourg Peronnas,Tours,0-2,0-1,Tue,5
?,2016-02-02,Creteil,Sochaux,1-1,0-0,Tue,5
?,2016-02-02,Dijon,Valenciennes,1-0,1-0,Tue,5
?,2016-02-02,Lens,Brest,2-0,1-0,Tue,5
?,2016-02-02,Metz,Laval,1-0,1-0,Tue,5
?,2016-02-02,Niort,Nancy,0-0,0-0,Tue,5
?,2016-02-02,Red Star,Le Havre,2-1,1-0,Tue,5
?,2016-02-05,Brest,Bourg Peronnas,2-1,1-0,Fri,5
?,2016-02-05,Clermont,Auxerre,1-2,0-0,Fri,5
?,2016-02-05,Evian Thonon Gaillard,Paris FC,1-0,1-0,Fri,5
?,2016-02-05,Laval,Ajaccio,0-0,0-0,Fri,5
?,2016-02-05,Nancy,Metz,2-2,1-1,Fri,5
?,2016-02-05,Nimes,Niort,1-0,0-0,Fri,5
?,2016-02-05,Sochaux,Red Star,1-2,1-0,Fri,5
?,2016-02-05,Tours,Lens,0-1,0-0,Fri,5
?,2016-02-05,Valenciennes,Creteil,2-2,2-1,Fri,5
?,2016-02-08,Le Havre,Dijon,0-2,0-0,Mon,6
?,2016-02-12,Ajaccio,Clermont,3-1,2-0,Fri,6
?,2016-02-12,Auxerre,Nancy,2-2,0-2,Fri,6
?,2016-02-12,Bourg Peronnas,Laval,0-0,0-0,Fri,6
?,2016-02-12,Creteil,Tours,2-2,0-2,Fri,6
?,2016-02-12,Dijon,Sochaux,2-2,0-1,Fri,6
?,2016-02-12,Niort,Brest,1-2,1-1,Fri,6
?,2016-02-12,Paris FC,Nimes,0-0,0-0,Fri,6
?,2016-02-12,Red Star,Evian Thonon Gaillard,2-2,0-0,Fri,6
?,2016-02-13,Metz,Le Havre,0-1,0-0,Sat,6
?,2016-02-15,Lens,Valenciennes,0-1,0-1,Mon,7
?,2016-02-19,Auxerre,Ajaccio,0-0,0-0,Fri,7
?,2016-02-19,Brest,Red Star,0-1,0-0,Fri,7
?,2016-02-19,Clermont,Niort,2-1,0-0,Fri,7
?,2016-02-19,Evian Thonon Gaillard,Bourg Peronnas,1-1,1-1,Fri,7
?,2016-02-19,Laval,Dijon,2-2,0-2,Fri,7
?,2016-02-19,Nancy,Paris FC,3-2,0-1,Fri,7
?,2016-02-19,Sochaux,Lens,0-0,0-0,Fri,7
?,2016-02-19,Tours,Valenciennes,1-0,1-0,Fri,7
?,2016-02-20,Le Havre,Creteil,1-0,1-0,Sat,7
?,2016-02-22,Nimes,Metz,2-1,1-0,Mon,8
?,2016-02-26,Ajaccio,Nancy,2-1,1-1,Fri,8
?,2016-02-26,Bourg Peronnas,Clermont,1-2,1-1,Fri,8
?,2016-02-26,Creteil,Laval,0-0,0-0,Fri,8
?,2016-02-26,Dijon,Tours,3-0,1-0,Fri,8
?,2016-02-26,Metz,Brest,2-2,2-2,Fri,8
?,2016-02-26,Niort,Le Havre,0-0,0-0,Fri,8
?,2016-02-26,Paris FC,Auxerre,2-2,0-1,Fri,8
?,2016-02-26,Valenciennes,Sochaux,2-2,1-1,Fri,8
?,2016-02-27,Red Star,Nimes,1-0,0-0,Sat,8
?,2016-02-29,Lens,Evian Thonon Gaillard,1-0,1-0,Mon,9
?,2016-03-04,Ajaccio,Paris FC,0-0,0-0,Fri,9
?,2016-03-04,Auxerre,Niort,1-1,1-1,Fri,9
?,2016-03-04,Brest,Creteil,2-1,1-1,Fri,9
?,2016-03-04,Evian Thonon Gaillard,Dijon,1-2,0-2,Fri,9
?,2016-03-04,Laval,Lens,1-1,0-1,Fri,9
?,2016-03-04,Le Havre,Valenciennes,3-2,2-1,Fri,9
?,2016-03-04,Nimes,Bourg Peronnas,1-1,1-1,Fri,9
?,2016-03-05,Nancy,Red Star,2-0,1-0,Sat,9
?,2016-03-05,Tours,Sochaux,1-0,0-0,Sat,9
?,2016-03-07,Clermont,Metz,2-1,1-1,Mon,10
?,2016-03-11,Bourg Peronnas,Nancy,2-0,1-0,Fri,10
?,2016-03-11,Creteil,Evian Thonon Gaillard,0-0,0-0,Fri,10
?,2016-03-11,Lens,Clermont,1-1,0-0,Fri,10
?,2016-03-11,Metz,Ajaccio,3-2,1-2,Fri,10
?,2016-03-11,Niort,Paris FC,2-1,0-1,Fri,10
?,2016-03-11,Sochaux,Le Havre,1-0,0-0,Fri,10
?,2016-03-11,Tours,Laval,1-1,0-0,Fri,10
?,2016-03-11,Valenciennes,Brest,0-1,0-0,Fri,10
?,2016-03-12,Dijon,Nimes,0-1,0-1,Sat,10
?,2016-03-14,Red Star,Auxerre,0-2,0-1,Mon,11
?,2016-03-18,Ajaccio,Niort,2-0,0-0,Fri,11
?,2016-03-18,Auxerre,Bourg Peronnas,1-2,0-0,Fri,11
?,2016-03-18,Brest,Dijon,0-0,0-0,Fri,11
?,2016-03-18,Evian Thonon Gaillard,Sochaux,0-0,0-0,Fri,11
?,2016-03-18,Laval,Valenciennes,0-3,0-1,Fri,11
?,2016-03-18,Le Havre,Tours,2-0,2-0,Fri,11
?,2016-03-18,Nimes,Creteil,1-3,0-0,Fri,11
?,2016-03-18,Paris FC,Metz,1-2,0-0,Fri,11
?,2016-03-19,Nancy,Lens,1-0,0-0,Sat,11
?,2016-03-21,Clermont,Red Star,0-2,0-0,Mon,12
?,2016-04-01,Bourg Peronnas,Ajaccio,3-0,0-0,Fri,13
?,2016-04-01,Creteil,Clermont,0-3,0-1,Fri,13
?,2016-04-01,Le Havre,Laval,2-0,0-0,Fri,13
?,2016-04-01,Lens,Auxerre,3-0,1-0,Fri,13
?,2016-04-01,Metz,Niort,2-0,1-0,Fri,13
?,2016-04-01,Sochaux,Nimes,0-0,0-0,Fri,13
?,2016-04-01,Tours,Brest,2-1,0-0,Fri,13
?,2016-04-01,Valenciennes,Evian Thonon Gaillard,1-0,0-0,Fri,13
?,2016-04-02,Dijon,Nancy,0-0,0-0,Sat,13
?,2016-04-04,Red Star,Paris FC,2-4,1-2,Mon,14
?,2016-04-08,Ajaccio,Red Star,1-2,1-0,Fri,14
?,2016-04-08,Auxerre,Metz,4-0,1-0,Fri,14
?,2016-04-08,Brest,Le Havre,0-0,0-0,Fri,14
?,2016-04-08,Evian Thonon Gaillard,Tours,0-0,0-0,Fri,14
?,2016-04-08,Laval,Sochaux,1-2,0-1,Fri,14
?,2016-04-08,Nimes,Valenciennes,2-0,0-0,Fri,14
?,2016-04-08,Niort,Lens,0-1,0-0,Fri,14
?,2016-04-08,Paris FC,Bourg Peronnas,2-0,2-0,Fri,14
?,2016-04-09,Clermont,Dijon,2-3,1-0,Sat,14
?,2016-04-11,Nancy,Creteil,1-0,0-0,Mon,15
?,2016-04-15,Bourg Peronnas,Metz,0-3,0-2,Fri,15
?,2016-04-15,Creteil,Auxerre,1-0,1-0,Fri,15
?,2016-04-15,Laval,Evian Thonon Gaillard,2-1,0-0,Fri,15
?,2016-04-15,Lens,Ajaccio,2-0,0-0,Fri,15
?,2016-04-15,Red Star,Niort,0-2,0-1,Fri,15
?,2016-04-15,Sochaux,Brest,2-1,2-1,Fri,15
?,2016-04-15,Tours,Nimes,1-2,1-1,Fri,15
?,2016-04-15,Valenciennes,Clermont,1-2,1-1,Fri,15
?,2016-04-16,Le Havre,Nancy,1-3,1-0,Sat,15
?,2016-04-18,Dijon,Paris FC,3-0,0-0,Mon,16
?,2016-04-22,Ajaccio,Valenciennes,1-1,0-1,Fri,16
?,2016-04-22,Brest,Laval,0-0,0-0,Fri,16
?,2016-04-22,Clermont,Tours,0-1,0-1,Fri,16
?,2016-04-22,Evian Thonon Gaillard,Le Havre,1-1,1-0,Fri,16
?,2016-04-22,Metz,Red Star,2-0,0-0,Fri,16
?,2016-04-22,Nimes,Lens,4-2,1-0,Fri,16
?,2016-04-22,Niort,Bourg Peronnas,0-0,0-0,Fri,16
?,2016-04-22,Paris FC,Creteil,2-2,1-1,Fri,16
?,2016-04-23,Auxerre,Dijon,2-0,1-0,Sat,16
?,2016-04-25,Nancy,Sochaux,1-0,1-0,Mon,17
?,2016-04-29,Brest,Evian Thonon Gaillard,0-2,0-1,Fri,17
?,2016-04-29,Creteil,Ajaccio,2-2,2-1,Fri,17
?,2016-04-29,Laval,Clermont,1-1,1-0,Fri,17
?,2016-04-29,Le Havre,Nimes,3-1,2-0,Fri,17
?,2016-04-29,Lens,Paris FC,0-1,0-1,Fri,17
?,2016-04-29,Red Star,Bourg Peronnas,1-0,0-0,Fri,17
?,2016-04-29,Sochaux,Auxerre,2-3,1-0,Fri,17
?,2016-04-29,Tours,Niort,1-2,1-0,Fri,17
?,2016-05-01,Dijon,Metz,0-4,0-1,Sun,17
?,2016-05-02,Valenciennes,Nancy,1-0,1-0,Mon,18
?,2016-05-06,Ajaccio,Sochaux,0-2,0-1,Fri,18
?,2016-05-06,Auxerre,Le Havre,1-3,1-1,Fri,18
?,2016-05-06,Bourg Peronnas,Lens,2-1,1-0,Fri,18
?,2016-05-06,Clermont,Brest,2-0,0-0,Fri,18
?,2016-05-06,Metz,Tours,2-1,1-1,Fri,18
?,2016-05-06,Nancy,Evian Thonon Gaillard,1-0,0-0,Fri,18
?,2016-05-06,Nimes,Laval,1-1,0-1,Fri,18
?,2016-05-06,Niort,Creteil,4-2,3-2,Fri,18
?,2016-05-06,Paris FC,Valenciennes,1-4,1-0,Fri,18
?,2016-05-06,Red Star,Dijon,3-2,2-1,Fri,18
?,2016-05-13,Brest,Auxerre,0-0,0-0,Fri,19
?,2016-05-13,Creteil,Red Star,2-4,1-3,Fri,19
?,2016-05-13,Dijon,Ajaccio,2-0,1-0,Fri,19
?,2016-05-13,Evian Thonon Gaillard,Nimes,4-1,1-1,Fri,19
?,2016-05-13,Laval,Paris FC,3-1,1-0,Fri,19
?,2016-05-13,Le Havre,Bourg Peronnas,5-0,3-0,Fri,19
?,2016-05-13,Lens,Metz,1-0,1-0,Fri,19
?,2016-05-13,Sochaux,Clermont,2-0,1-0,Fri,19
?,2016-05-13,Tours,Nancy,2-5,1-3,Fri,19
?,2016-05-13,Valenciennes,Niort,3-3,2-2,Fri,19
