Date,Team.1,Team.2,FT,HT
2016-11-21,Brest,Niort,2-3,1-3
2016-11-25,Ajaccio GFCO,Sochaux,0-1,0-0
2016-11-25,Bourg Peronnas,Red Star,4-1,1-0
2016-11-25,Lens,Le Havre,1-0,0-0
2016-11-25,Nimes,Reims,3-0,2-0
2016-11-25,Niort,Ajaccio,1-1,1-0
2016-11-25,Orleans,Valenciennes,0-2,0-0
2016-11-25,Strasbourg,Laval,1-0,0-0
2016-11-25,Tours,Auxerre,2-1,0-0
2016-11-25,Troyes,Clermont,1-0,1-0
2016-11-26,Amiens,Brest,3-0,1-0
2016-11-28,Reims,Niort,1-0,0-0
2016-11-29,Ajaccio,Amiens,1-1,0-0
2016-11-29,Auxerre,Nimes,2-0,1-0
2016-11-29,Brest,Troyes,2-1,1-1
2016-11-29,Clermont,Tours,0-0,0-0
2016-11-29,Laval,Lens,0-1,0-1
2016-11-29,Le Havre,Strasbourg,0-1,0-0
2016-11-29,Red Star,Orleans,1-0,1-0
2016-11-29,Sochaux,Bourg Peronnas,1-1,0-1
2016-11-29,Valenciennes,Ajaccio GFCO,0-0,0-0
2016-12-09,Ajaccio GFCO,Ajaccio,4-1,2-0
2016-12-09,Amiens,Sochaux,0-1,0-1
2016-12-09,Bourg Peronnas,Clermont,1-1,0-1
2016-12-09,Nimes,Brest,1-2,1-2
2016-12-09,Niort,Le Havre,1-1,1-1
2016-12-09,Red Star,Valenciennes,2-2,2-0
2016-12-09,Tours,Laval,1-1,0-0
2016-12-09,Troyes,Auxerre,1-1,0-1
2016-12-10,Strasbourg,Lens,3-1,2-0
2016-12-12,Orleans,Reims,2-2,0-0
2016-12-16,Ajaccio,Nimes,1-2,0-1
2016-12-16,Auxerre,Valenciennes,1-1,0-0
2016-12-16,Brest,Bourg Peronnas,0-0,0-0
2016-12-16,Clermont,Orleans,3-0,0-0
2016-12-16,Laval,Amiens,2-2,0-1
2016-12-16,Le Havre,Tours,0-2,0-2
2016-12-16,Sochaux,Red Star,2-0,1-0
2016-12-16,Strasbourg,Niort,3-0,0-0
2016-12-17,Lens,Ajaccio GFCO,2-1,1-1
2016-12-19,Reims,Troyes,2-0,2-0
2017-01-13,Ajaccio GFCO,Auxerre,2-0,1-0
2017-01-13,Bourg Peronnas,Reims,1-0,0-0
2017-01-13,Nimes,Le Havre,0-0,0-0
2017-01-13,Niort,Laval,2-2,1-2
2017-01-13,Orleans,Brest,0-1,0-0
2017-01-13,Red Star,Clermont,1-3,1-2
2017-01-13,Tours,Lens,2-3,0-2
2017-01-13,Troyes,Ajaccio,1-2,1-1
2017-01-14,Amiens,Strasbourg,4-3,3-3
2017-01-16,Valenciennes,Sochaux,2-1,0-0
2017-01-20,Ajaccio,Orleans,1-0,0-0
2017-01-20,Auxerre,Bourg Peronnas,0-2,0-2
2017-01-20,Laval,Troyes,1-0,0-0
2017-01-20,Le Havre,Ajaccio GFCO,1-2,0-1
2017-01-20,Niort,Amiens,2-1,2-0
2017-01-20,Reims,Valenciennes,0-0,0-0
2017-01-20,Sochaux,Clermont,3-3,2-0
2017-01-21,Lens,Nimes,1-3,0-2
2017-01-23,Brest,Red Star,0-1,0-0
2017-01-27,Ajaccio GFCO,Laval,1-1,0-0
2017-01-27,Bourg Peronnas,Ajaccio,3-2,1-0
2017-01-27,Clermont,Auxerre,0-1,0-0
2017-01-27,Nimes,Strasbourg,2-2,1-0
2017-01-27,Orleans,Sochaux,1-0,1-0
2017-01-27,Tours,Niort,0-0,0-0
2017-01-27,Troyes,Le Havre,2-1,2-0
2017-01-27,Valenciennes,Brest,0-1,0-0
2017-01-28,Amiens,Lens,2-1,0-1
2017-01-30,Red Star,Reims,0-1,0-1
2017-02-03,Ajaccio,Clermont,2-1,1-0
2017-02-03,Amiens,Nimes,1-2,1-1
2017-02-03,Laval,Valenciennes,0-0,0-0
2017-02-03,Le Havre,Red Star,1-1,1-0
2017-02-03,Lens,Troyes,0-0,0-0
2017-02-03,Niort,Bourg Peronnas,3-2,0-1
2017-02-03,Reims,Tours,1-1,0-0
2017-02-03,Strasbourg,Ajaccio GFCO,2-0,0-0
2017-02-04,Auxerre,Orleans,0-2,0-0
2017-02-04,Brest,Sochaux,2-0,1-0
2017-02-06,Red Star,Ajaccio,2-0,1-0
2017-02-06,Valenciennes,Le Havre,0-0,0-0
2017-02-07,Ajaccio GFCO,Reims,1-1,0-1
2017-02-07,Bourg Peronnas,Lens,0-0,0-0
2017-02-07,Clermont,Brest,1-1,0-0
2017-02-07,Nimes,Niort,3-0,1-0
2017-02-07,Orleans,Laval,2-1,0-0
2017-02-07,Sochaux,Auxerre,0-1,0-1
2017-02-07,Tours,Amiens,0-3,0-1
2017-02-07,Troyes,Strasbourg,4-0,0-0
2017-02-10,Ajaccio,Valenciennes,3-2,2-0
2017-02-10,Amiens,Ajaccio GFCO,4-0,0-0
2017-02-10,Auxerre,Brest,3-1,0-0
2017-02-10,Laval,Red Star,1-1,1-0
2017-02-10,Le Havre,Bourg Peronnas,3-0,3-0
2017-02-10,Nimes,Tours,1-1,1-0
2017-02-10,Niort,Troyes,3-2,1-1
2017-02-11,Reims,Sochaux,0-1,0-1
2017-02-13,Lens,Clermont,3-1,0-0
2017-02-13,Strasbourg,Orleans,3-2,2-0
2017-02-17,Ajaccio GFCO,Niort,1-0,1-0
2017-02-17,Auxerre,Ajaccio,1-0,1-0
2017-02-17,Bourg Peronnas,Tours,3-2,1-2
2017-02-17,Clermont,Reims,0-1,0-0
2017-02-17,Red Star,Strasbourg,1-1,1-0
2017-02-17,Sochaux,Laval,1-1,0-1
2017-02-17,Troyes,Nimes,0-0,0-0
2017-02-17,Valenciennes,Amiens,1-1,1-0
2017-02-18,Brest,Le Havre,2-0,1-0
2017-02-20,Orleans,Lens,2-1,0-0
2017-02-21,Strasbourg,Tours,4-2,1-2
2017-02-24,Ajaccio,Sochaux,0-0,0-0
2017-02-24,Amiens,Orleans,0-2,0-1
2017-02-24,Laval,Bourg Peronnas,2-4,1-0
2017-02-24,Le Havre,Auxerre,1-0,0-0
2017-02-24,Nimes,Ajaccio GFCO,1-1,0-1
2017-02-24,Niort,Red Star,2-3,1-2
2017-02-24,Strasbourg,Clermont,0-2,0-1
2017-02-24,Tours,Troyes,0-0,0-0
2017-02-25,Lens,Valenciennes,2-0,0-0
2017-02-27,Reims,Brest,1-1,0-1
2017-03-03,Ajaccio GFCO,Tours,2-2,1-2
2017-03-03,Auxerre,Reims,1-2,0-0
2017-03-03,Bourg Peronnas,Nimes,0-1,0-0
2017-03-03,Brest,Ajaccio,1-2,0-2
2017-03-03,Clermont,Laval,1-1,0-1
2017-03-03,Red Star,Lens,2-3,1-0
2017-03-03,Sochaux,Le Havre,0-1,0-1
2017-03-04,Orleans,Niort,1-1,1-1
2017-03-04,Troyes,Amiens,4-0,2-0
2017-03-06,Valenciennes,Strasbourg,2-1,0-0
2017-03-10,Ajaccio GFCO,Troyes,3-1,3-0
2017-03-10,Amiens,Bourg Peronnas,2-1,1-1
2017-03-10,Laval,Auxerre,0-0,0-0
2017-03-10,Le Havre,Clermont,0-1,0-0
2017-03-10,Nimes,Red Star,2-0,0-0
2017-03-10,Niort,Valenciennes,2-1,2-0
2017-03-10,Reims,Ajaccio,3-0,1-0
2017-03-10,Tours,Orleans,3-1,1-0
2017-03-11,Strasbourg,Brest,4-1,1-0
2017-03-13,Lens,Sochaux,2-1,0-0
2017-03-17,Ajaccio,Le Havre,0-0,0-0
2017-03-17,Bourg Peronnas,Troyes,2-4,1-3
2017-03-17,Brest,Laval,3-0,2-0
2017-03-17,Clermont,Niort,0-1,0-0
2017-03-17,Orleans,Ajaccio GFCO,1-1,1-1
2017-03-17,Red Star,Amiens,0-1,0-0
2017-03-17,Sochaux,Nimes,2-1,0-0
2017-03-17,Valenciennes,Tours,0-4,0-2
2017-03-18,Reims,Lens,0-2,0-0
2017-03-20,Auxerre,Strasbourg,0-2,0-0
2017-03-31,Ajaccio GFCO,Bourg Peronnas,2-3,1-0
2017-03-31,Amiens,Clermont,0-1,0-0
2017-03-31,Laval,Ajaccio,1-1,1-1
2017-03-31,Le Havre,Reims,1-1,1-0
2017-03-31,Nimes,Valenciennes,1-0,1-0
2017-03-31,Niort,Auxerre,1-0,0-0
2017-03-31,Tours,Red Star,3-1,2-1
2017-03-31,Troyes,Orleans,4-2,4-0
2017-04-01,Lens,Brest,0-2,0-1
2017-04-03,Strasbourg,Sochaux,2-0,2-0
2017-04-07,Auxerre,Amiens,1-0,1-0
2017-04-07,Brest,Tours,1-1,1-1
2017-04-07,Clermont,Nimes,2-3,0-2
2017-04-07,Le Havre,Laval,2-0,0-0
2017-04-07,Orleans,Bourg Peronnas,1-0,0-0
2017-04-07,Sochaux,Niort,2-2,1-1
2017-04-07,Valenciennes,Troyes,2-0,1-0
2017-04-08,Red Star,Ajaccio GFCO,0-3,0-1
2017-04-08,Reims,Strasbourg,1-1,1-1
2017-04-10,Ajaccio,Lens,3-6,3-5
2017-04-14,Ajaccio GFCO,Clermont,4-4,3-1
2017-04-14,Amiens,Le Havre,2-0,1-0
2017-04-14,Bourg Peronnas,Valenciennes,0-2,0-0
2017-04-14,Laval,Reims,5-2,1-2
2017-04-14,Nimes,Orleans,2-0,0-0
2017-04-14,Niort,Brest,0-3,0-0
2017-04-14,Tours,Sochaux,3-1,2-1
2017-04-14,Troyes,Red Star,3-2,1-0
2017-04-15,Lens,Auxerre,0-1,0-1
2017-04-17,Strasbourg,Ajaccio,4-2,2-1
2017-04-21,Ajaccio,Niort,3-1,3-1
2017-04-21,Auxerre,Tours,1-1,1-1
2017-04-21,Clermont,Troyes,1-1,0-1
2017-04-21,Laval,Strasbourg,1-2,1-0
2017-04-21,Red Star,Bourg Peronnas,4-1,2-1
2017-04-21,Reims,Nimes,1-1,1-0
2017-04-21,Sochaux,Ajaccio GFCO,1-2,1-0
2017-04-21,Valenciennes,Orleans,4-0,1-0
2017-04-22,Brest,Amiens,2-3,1-1
2017-04-24,Le Havre,Lens,1-0,1-0
2017-04-28,Ajaccio GFCO,Valenciennes,1-0,1-0
2017-04-28,Amiens,Ajaccio,2-1,0-0
2017-04-28,Bourg Peronnas,Sochaux,0-1,0-1
2017-04-28,Nimes,Auxerre,0-1,0-0
2017-04-28,Niort,Reims,0-3,0-2
2017-04-28,Orleans,Red Star,4-0,2-0
2017-04-28,Strasbourg,Le Havre,2-0,1-0
2017-04-28,Tours,Clermont,3-0,2-0
2017-04-29,Troyes,Brest,1-0,1-0
2017-05-01,Lens,Laval,2-0,0-0
2017-05-05,Auxerre,Troyes,2-3,2-1
2017-05-05,Clermont,Bourg Peronnas,2-3,0-1
2017-05-05,Laval,Tours,1-3,0-2
2017-05-05,Le Havre,Niort,0-0,0-0
2017-05-05,Reims,Orleans,0-2,0-1
2017-05-05,Sochaux,Amiens,1-2,1-1
2017-05-05,Valenciennes,Red Star,0-0,0-0
2017-05-06,Brest,Nimes,2-3,1-1
2017-05-08,Ajaccio,Ajaccio GFCO,1-0,0-0
2017-05-08,Lens,Strasbourg,1-1,0-0
2017-05-12,Ajaccio GFCO,Lens,0-4,0-2
2017-05-12,Amiens,Laval,3-0,2-0
2017-05-12,Bourg Peronnas,Brest,1-2,0-1
2017-05-12,Nimes,Ajaccio,3-1,1-1
2017-05-12,Niort,Strasbourg,2-2,1-1
