Round,Date,Day,Week,Team 1,Team 2,FT,HT
?,1998-04-29,Wed,17,Martigues,Beauvais,0-0,?
?,1998-04-29,Wed,17,Mulhouse,Nancy,2-2,?
?,1998-04-29,Wed,17,Nimes,Toulon,2-0,?
?,1998-04-29,Wed,17,Red Star 93,Niort,1-1,?
?,1998-04-29,Wed,17,Sochaux,St Etienne,4-0,?
?,1998-04-29,Wed,17,Valence,Caen,2-2,?
?,1998-05-05,Tue,18,Beauvais,Lille,2-1,?
?,1998-05-05,Tue,18,Caen,Gueugnon,4-0,?
?,1998-05-05,Tue,18,Laval,Valence,2-2,?
?,1998-05-05,Tue,18,Louhans-Cuis.,Nimes,2-0,?
?,1998-05-05,Tue,18,Nancy,Le Mans,1-1,?
?,1998-05-05,Tue,18,Nice,Sochaux,2-1,?
?,1998-05-05,Tue,18,Niort,Lorient,0-0,?
?,1998-05-05,Tue,18,St Etienne,Martigues,1-1,?
?,1998-05-05,Tue,18,Toulon,Red Star 93,2-3,?
?,1998-05-05,Tue,18,Troyes,Mulhouse,1-1,?
?,1998-05-05,Tue,18,Wasquehal,Amiens,2-0,?
?,1998-05-08,Fri,18,Amiens,Caen,1-1,?
?,1998-05-08,Fri,18,Gueugnon,Laval,2-1,?
?,1998-05-08,Fri,18,Le Mans,Louhans-Cuis.,1-0,?
?,1998-05-08,Fri,18,Lille,St Etienne,2-1,?
?,1998-05-08,Fri,18,Lorient,Toulon,1-3,?
?,1998-05-08,Fri,18,Martigues,Sochaux,1-2,?
?,1998-05-08,Fri,18,Mulhouse,Wasquehal,1-2,?
?,1998-05-08,Fri,18,Nancy,Troyes,1-1,?
?,1998-05-08,Fri,18,Nimes,Beauvais,0-0,?
?,1998-05-08,Fri,18,Red Star 93,Nice,1-0,?
?,1998-05-08,Fri,18,Valence,Niort,2-2,?
