Date,Team 1,FT,Team 2
Mon Apr 4 1994,Sparta Rotterdam,2-5,FC Twente
Tue Apr 5 1994,SC Heerenveen,2-0,FC Groningen
Wed Apr 6 1994,AFC Ajax,5-0,NAC Breda
Fri Apr 8 1994,VVV Venlo,0-3,PSV Eindhoven
Sat Apr 9 1994,Go Ahead Eagles,2-3,SC Heerenveen
Sat Apr 9 1994,SC Cambuur,2-1,FC Utrecht
Sun Apr 10 1994,Feyenoord,5-1,Sparta Rotterdam
Sun Apr 10 1994,FC Twente,0-1,Vitesse
Sun Apr 10 1994,NAC Breda,1-4,MVV
Sun Apr 10 1994,RKC Waalwijk,1-1,Roda JC Kerkrade
Sun Apr 10 1994,FC Groningen,4-1,Willem II
Tue Apr 12 1994,FC Volendam,1-0,AFC Ajax
Thu Apr 14 1994,PSV Eindhoven,3-2,FC Twente
Sat Apr 16 1994,SC Heerenveen,0-3,RKC Waalwijk
Sat Apr 16 1994,Willem II,0-0,Go Ahead Eagles
Sat Apr 16 1994,Sparta Rotterdam,0-0,NAC Breda
Sat Apr 16 1994,MVV,1-1,FC Volendam
Sun Apr 17 1994,AFC Ajax,6-0,FC Twente
Sun Apr 17 1994,Roda JC Kerkrade,1-1,SC Cambuur
Sun Apr 17 1994,FC Utrecht,2-3,VVV Venlo
Sun Apr 17 1994,Vitesse,1-2,Feyenoord
Sat Apr 23 1994,SC Heerenveen,1-2,Willem II
Sat Apr 23 1994,NAC Breda,2-2,Vitesse
Sat Apr 23 1994,VVV Venlo,2-2,Roda JC Kerkrade
Sun Apr 24 1994,FC Twente,1-0,FC Utrecht
Sun Apr 24 1994,RKC Waalwijk,3-0,SC Cambuur
Sun Apr 24 1994,FC Groningen,3-2,MVV
Sun Apr 24 1994,FC Volendam,2-1,Sparta Rotterdam
Sun Apr 24 1994,Go Ahead Eagles,0-3,AFC Ajax
Wed Apr 27 1994,PSV Eindhoven,2-1,Sparta Rotterdam
Wed Apr 27 1994,Feyenoord,2-2,FC Groningen
Wed Apr 27 1994,Roda JC Kerkrade,1-2,AFC Ajax
Wed Apr 27 1994,NAC Breda,3-1,FC Volendam
Wed Apr 27 1994,RKC Waalwijk,0-0,Vitesse
Wed Apr 27 1994,VVV Venlo,1-1,SC Heerenveen
Wed Apr 27 1994,SC Cambuur,0-1,Willem II
Sun May 1 1994,AFC Ajax,2-1,SC Heerenveen
Sun May 1 1994,PSV Eindhoven,3-1,NAC Breda
Sun May 1 1994,Roda JC Kerkrade,1-4,FC Twente
Sun May 1 1994,FC Utrecht,0-0,Feyenoord
Sun May 1 1994,RKC Waalwijk,1-0,Willem II
Sun May 1 1994,Vitesse,2-1,FC Volendam
Sun May 1 1994,Sparta Rotterdam,3-0,FC Groningen
Sun May 1 1994,SC Cambuur,2-1,VVV Venlo
Sun May 1 1994,MVV,2-2,Go Ahead Eagles
Tue May 3 1994,AFC Ajax,0-2,FC Groningen
Tue May 3 1994,Feyenoord,2-1,PSV Eindhoven
Sat May 7 1994,Go Ahead Eagles,1-5,Sparta Rotterdam
Sun May 8 1994,Feyenoord,2-1,Roda JC Kerkrade
Sun May 8 1994,SC Heerenveen,3-1,MVV
Sun May 8 1994,Willem II,2-1,AFC Ajax
Sun May 8 1994,FC Twente,4-1,SC Cambuur
Sun May 8 1994,NAC Breda,2-2,FC Utrecht
Sun May 8 1994,FC Groningen,0-0,Vitesse
Sun May 8 1994,FC Volendam,3-2,PSV Eindhoven
Sun May 8 1994,VVV Venlo,0-2,RKC Waalwijk
